1/2/4,1,1,0,11300.0,1100.0,10200.0,0.0,137300.0,14000.0,121700.0,1500.0,0,1200.0,1200.0,400.0,12300.0,6300.0,5500.0,600.0,16,5,0,9,9900.0,9600.0,226,4,4,0
1/6/3,1,1,0,9900.0,9500.0,300.0,0.0,145600.0,142600.0,500.0,2600.0,395,0.0,0.0,400.0,11600.0,5500.0,4100.0,1900.0,14,9,0,8,10900.0,10900.0,253,12,12,0
1/3/4,1,1,0,6300.0,600.0,3900.0,1800.0,12400.0,1800.0,6600.0,4100.0,0,2600.0,100.0,600.0,5600.0,2500.0,2900.0,100.0,30,11,0,8,6400.0,5500.0,22,0,0,0
2/3/4,2,1,0,5600.0,3800.0,1900.0,0.0,132800.0,92500.0,34900.0,5500.0,39,5000.0,4200.0,300.0,18200.0,13000.0,3400.0,1900.0,14,4,0,3,11000.0,10800.0,242,0,0,0
4/3/10,4,1,0,9600.0,500.0,8200.0,1000.0,151700.0,16200.0,124000.0,11600.0,0,18100.0,2400.0,6100.0,14700.0,9700.0,4000.0,1000.0,5,20,0,4,11300.0,8100.0,46,137,92,9
5/1/4,3,2,0,10400.0,4400.0,3800.0,2300.0,170900.0,132600.0,25000.0,13300.0,0,12000.0,5000.0,3700.0,15800.0,10100.0,5500.0,200.0,13,6,0,6,12900.0,10100.0,245,23,5,8
5/2/8,4,1,0,12900.0,8500.0,4300.0,100.0,175000.0,138200.0,25100.0,11700.0,492,34700.0,5200.0,3700.0,11500.0,7800.0,3000.0,600.0,10,3,0,5,13200.0,12100.0,255,24,9,4
1/1/15,1,1,0,5300.0,500.0,3900.0,900.0,29900.0,7300.0,8600.0,14000.0,0,2700.0,2200.0,8900.0,15100.0,8400.0,6200.0,500.0,43,10,0,12,9100.0,7000.0,49,0,0,0
6/4/1,3,1,1,16800.0,14600.0,300.0,1900.0,165900.0,163600.0,300.0,1900.0,0,200.0,200.0,1100.0,18200.0,10500.0,6700.0,1000.0,15,2,0,6,12700.0,12200.0,257,12,12,0
0/2/2,0,0,0,6000.0,200.0,5400.0,500.0,149800.0,18700.0,117300.0,13800.0,0,14000.0,1600.0,8900.0,14700.0,9400.0,4600.0,700.0,13,6,0,12,8400.0,8000.0,31,126,84,8
